pdb,execution_time
pdb2w3t_A_hinge_5_sigma1.0.pdb,0.097245
pdb2w3t_A_hinge_4_sigma1.0.pdb,0.110558
pdb2w3t_A_hinge_5_sigma1.5.pdb,0.058775
pdb2w3t_A_hinge_4_sigma0.5.pdb,0.145826
pdb6aqz_A_hinge_10_sigma1.5.pdb,0.218518
pdb6aqz_A_hinge_10_sigma1.0.pdb,0.545558
pdb6aqz_A_hinge_2_sigma1.5.pdb,0.16519
pdb6aqz_A_hinge_6_sigma0.5.pdb,0.773023
pdb6aqz_A_hinge_3_sigma1.0.pdb,0.58923
pdb6aqz_A_hinge_0_sigma1.5.pdb,0.277455
pdb6aqz_A_hinge_8_sigma0.5.pdb,0.793749
pdb6aqz_A_hinge_0_sigma1.0.pdb,0.521713
pdb6aqz_A_hinge_2_sigma1.0.pdb,0.581179
pdb6aqz_A_hinge_5_sigma1.0.pdb,0.588562
pdb6aqz_A_hinge_7_sigma0.5.pdb,0.856537
pdb6aqz_A_hinge_8_sigma1.5.pdb,0.166434
pdb6aqz_A_hinge_1_sigma1.0.pdb,0.52642
pdb6aqz_A_hinge_5_sigma0.5.pdb,0.782821
pdb6aqz_A_hinge_3_sigma1.5.pdb,0.247987
pdb6aqz_A_hinge_8_sigma1.0.pdb,0.478825
pdb6aqz_A_hinge_0_sigma0.5.pdb,0.847207
pdb6aqz_A_hinge_6_sigma1.0.pdb,0.579046
pdb6aqz_A_hinge_6_sigma1.5.pdb,0.221631
pdb6aqz_A_hinge_5_sigma1.5.pdb,0.234268
pdb6aqz_A_hinge_4_sigma1.0.pdb,0.549935
pdb6aqz_A_hinge_1_sigma1.5.pdb,0.260773
pdb6aqz_A_hinge_7_sigma1.0.pdb,0.502527
pdb6aqz_A_hinge_1_sigma0.5.pdb,0.858331
pdb6aqz_A_hinge_9_sigma0.5.pdb,0.689743
pdb6aqz_A_hinge_3_sigma0.5.pdb,0.7709
pdb6aqz_A_hinge_4_sigma0.5.pdb,0.754776
