p_pdb,q_pdb,execution_time
1khd_A,1khd_D,0.09428739547729492
1o17_B,1o17_C,0.3076796531677246
2elc_B,2elc_D,0.0350180008
2elc_A,2elc_C,0.0248799995
2elc_A,2elc_B,0.0256009996
1khd_C,1khd_D,0.0352500007
1o17_A,1o17_C,0.0280570015
1khd_A,1khd_B,0.2218339443206787
1o17_A,1o17_D,0.1710970401763916
2gvq_A,2gvq_C,0.19168853759765625
2gvq_A,2gvq_D,0.21296238899230957
2gvq_A,1o17_C,0.18422746658325195
2gvq_A,1o17_D,0.2241687774658203
1khd_D,1kgz_A,0.17849469184875488
1vqu_A,1vqu_B,0.12782979011535645
1acc_,1t6b_X,0.1101534366607666
1t6b_X,1acc_A,0.20261478424072266
2aju_H,2ajx_H,0.0116069987
1jgu_L,1baf_L,0.1342315673828125
1gpo_L,1acy_L,0.17325496673583984
1gpo_L,1keg_L,0.12194275856018066
1tji_H,2p8m_B,0.0165109988
1azx_L,1t1f_A,0.20762944221496582
1azx_L,1t1f_C,0.1899559497833252
1t1f_A,1nq9_L,0.1864469051361084
1t1f_A,1nq9_I,0.20896577835083008
2icp_A,2ict_A,0.1446847915649414
1b7u_A,1b1x_A,0.3428816795349121
1av1_D,1av1_A,0.0238650013
2ou1_B,1l6l_2,0.00370300002
1l6l_D,1l6l_K,0.00336800143
2ou1_A,1l6l_6,0.00311800092
5wve_A,3sfz_A,0.19675922393798828
2p0m_A,2p0m_B,0.108263999
6ky2_A,1rl9_A,0.2288517951965332
3m10_A,1bg0_A,0.09798312187194824
6ky2_A,5j99_A,0.16492867469787598
6ky2_A,4bhl_A,0.2162933349609375
6ky2_A,1sd0_A,0.17275118827819824
6ky2_A,1p52_A,0.15782880783081055
6ky2_A,5j9a_A,0.16981792449951172
1m80_A,1rl9_A,0.06387972831726074
1m15_A,3m10_B,0.0399889983
1m15_A,1m80_A,0.0411710031
1m15_A,3m10_A,0.1356041431427002
6ky2_A,1m15_A,0.17626476287841797
6ky2_A,1bg0_A,0.17404747009277344
3m10_A,5j99_A,0.19186925888061523
6ky2_A,4gvz_A,0.16434025764465332
1kh1_B,1kh2_D,0.1965944766998291
1kp3_A,1k92_A,0.2412700653076172
1f7v_A,1bs2_A,0.3482546806335449
3hk2_A,3f73_A,0.23450779914855957
3hjf_A,3dlb_A,0.3040599822998047
3f73_A,3dlb_A,0.26639461517333984
3f73_A,3hm9_A,0.19752001762390137
1pbv_A,1r8s_E,0.17042231559753418
1pbv_A,1r8q_E,0.11009550094604492
1b6b_B,1cjw_A,0.1404407024383545
7xi3_A,7xi4_A,0.0373350009
1ivr_A,9aat_A,0.0228409991
1asm_A,1ars_A,0.0229329988
1asm_B,1ars_A,0.0252679996
1ars_A,1art_A,0.0296379998
1yoo_A,1asn_A,0.0260189995
1ars_A,1yoo_A,0.0249919966
1asn_A,1asm_A,0.0320780016
1art_A,1asn_A,0.0404360034
1art_A,1asn_B,0.0424149968
1yoo_A,1asn_B,0.0281240009
1oxo_A,1oxp_,0.13391375541687012
1asm_B,1asn_B,0.0335500017
1ahe_A,9aat_A,0.19730234146118164
1ahe_A,1ars_,0.10060787200927734
1arg_A,9aat_A,0.16682100296020508
1oxp_,9aat_A,0.12833356857299805
1asl_B,1ars_A,0.0473649949
1asm_B,1asn_A,0.0409589969
1asm_A,1asn_B,0.0268859975
1asl_B,1asn_B,0.0500879958
1asl_B,1asn_A,0.0543380007
1ajs_A,1ajr_A,0.1437382698059082
1asl_A,1ars_A,0.0381120034
1ajr_B,1ajs_A,0.1282634735107422
1asl_A,1asn_A,0.0415359996
1bkg_A,1bjw_A,0.18740582466125488
1oxo_A,1oxp_A,0.0226890035
1asl_A,1asn_B,0.0373830013
1x28_A,1ars_A,0.0297409967
1ajs_A,1ajs_B,0.194016695022583
9aat_A,2cst_A,0.14838218688964844
1ase_,1ars_,0.13921165466308594
