p_pdb,q_pdb,execution_time
1esw_A,2owx_A,2.5431
5tuj_C,5t0w_A,0.409392
1ki0_A,2doi_X,0.512416
1ki0_A,2doh_X,0.499153
3nxq_A,3nxq_B,5.833193
6m17_B,6m1d_B,7.498538
6m17_D,6m1d_D,7.437856
1r4l_A,1r42_A,5.613852
3qbw_A,3qbx_A,1.044053
1axn_,1aii_,
1axn_,2ran_,
1khd_B,1khd_D,0.90944
1khd_A,1khd_D,0.922072
1o17_B,1o17_C,1.022086
2elc_B,2elc_D,0.981507
2elc_A,2elc_C,0.965734
2elc_A,2elc_B,0.987554
1khd_C,1khd_D,0.941794
1o17_A,1o17_C,1.01977
1khd_A,1khd_B,0.943337
1o17_A,1o17_D,1.075009
2gvq_A,2gvq_C,1.01746
2gvq_A,2gvq_D,1.075843
2gvq_A,1o17_C,1.019661
2gvq_A,1o17_D,1.077742
1khd_D,1kgz_A,0.916746
1vqu_A,1vqu_B,0.77872
1acc_,1t6b_X,
1t6b_X,1acc_A,3.18677
2aju_H,2ajx_H,0.533083
1jgu_L,1baf_L,0.475546
1gpo_L,1acy_L,0.467546
1gpo_L,1keg_L,0.451486
1tji_H,2p8m_B,0.494031
1azx_L,1t1f_A,1.378614
1azx_L,1t1f_C,1.38842
1t1f_A,1nq9_L,1.317327
1t1f_A,1nq9_I,1.3832
2icp_A,2ict_A,0.074034
1b7u_A,1b1x_A,4.145374
1av1_D,1av1_A,1.169019
2ou1_B,1l6l_2,
1l6l_D,1l6l_K,
2ou1_A,1l6l_6,
5wve_A,3sfz_A,13.108421
2p0m_A,2p0m_B,5.00778
6ky2_A,1rl9_A,1.024621
3m10_A,1bg0_A,0.980254
6ky2_A,5j99_A,1.001705
6ky2_A,4bhl_A,1.008504
6ky2_A,1sd0_A,1.02538
6ky2_A,1p52_A,1.020337
6ky2_A,5j9a_A,1.004948
1m80_A,1rl9_A,
1m15_A,3m10_B,0.962073
1m15_A,1m80_A,
1m15_A,3m10_A,0.966042
6ky2_A,1m15_A,1.004883
6ky2_A,1bg0_A,1.009758
3m10_A,5j99_A,0.951644
6ky2_A,4gvz_A,1.027216
1kh1_B,1kh2_D,1.070309
1kp3_A,1k92_A,1.515741
1f7v_A,1bs2_A,5.406048
3hk2_A,3f73_A,3.145745
3hjf_A,3dlb_A,2.75862
3f73_A,3dlb_A,3.057035
3f73_A,3hm9_A,3.090531
1pbv_A,1r8s_E,0.720525
1pbv_A,1r8q_E,0.756689
1b6b_B,1cjw_A,0.1972
7xi3_A,7xi4_A,0.440012
1ivr_A,9aat_A,1.421302
1asm_A,1ars_A,1.376444
1asm_B,1ars_A,1.379442
1ars_A,1art_A,1.379338
1yoo_A,1asn_A,1.457681
1ars_A,1yoo_A,1.392124
1asn_A,1asm_A,1.345752
1art_A,1asn_A,1.352747
1art_A,1asn_B,1.410629
1yoo_A,1asn_B,1.398312
1oxo_A,1oxp_,
1asm_B,1asn_B,1.40911
1ahe_A,9aat_A,1.417922
1ahe_A,1ars_,
1arg_A,9aat_A,1.401208
1oxp_,9aat_A,
1asl_B,1ars_A,1.366203
1asm_B,1asn_A,1.356093
1asm_A,1asn_B,1.375086
1asl_B,1asn_B,1.394926
1asl_B,1asn_A,1.362352
1ajs_A,1ajr_A,1.49594
1asl_A,1ars_A,1.366779
1ajr_B,1ajs_A,1.504354
1asl_A,1asn_A,1.38109
1bkg_A,1bjw_A,1.321587
1oxo_A,1oxp_A,1.397842
1asl_A,1asn_B,1.381373
1x28_A,1ars_A,1.402654
1ajs_A,1ajs_B,1.502801
9aat_A,2cst_A,1.484858
1ase_,1ars_,
1amq_,1amr_,
1ama_,9aat_A,
1amr_,9aat_A,
1art_,1ars_,
1ars_,1amr_,
9aat_A,1ama_A,1.428324
2gyy_B,2gz1_B,0.891472
2gyy_A,2gz1_A,0.93062
2gz1_A,2gz3_B,0.984781
1gq3_A,1d09_A,
3r7l_A,3r7d_A,0.810893
1gq3_A,1gq3_C,
1gq3_C,1gq3_B,
8atc_D,5at1_D,0.156278
8atc_A,5at1_A,1.04188
6at1_A,1d09_A,1.016532
1d09_A,1za1_A,1.031819
1za1_A,1q95_A,1.02833
1f1b_C,1ezz_C,1.102195
1q95_A,9atc_A,1.07876
1f1b_A,1ezz_A,1.040969
1at1_A,1raa_A,1.015085
1at1_D,1raa_D,0.176233
1d09_B,1za1_B,0.191574
1f1b_D,1ezz_D,0.169076
1gl3_A,1brm_A,1.107159
1mc4_A,1mb4_B,1.164232
1gl3_B,1brm_B,1.100955
2dt9_B,2zho_B,0.137851
3tvi_B,3tvi_A,1.364569
2dt9_B,2zho_F,0.12591
1eqr_A,1eqr_C,2.762349
1eqr_A,1eqr_B,2.739625
1il2_A,1il2_B,2.66403
1l0w_B,1g51_A,2.591796
1c0a_A,1eqr_A,2.796937
1c0a_A,1eqr_B,2.752265
3nel_A,3nem_B,1.44536
1eov_A,1asy_A,1.967241
1g51_B,1efw_A,2.722628
1efw_A,1l0w_A,2.621839
1g51_A,1efw_A,2.763747
5jxk_B,5jwi_A,4.652294
5jxk_B,5jwg_A,4.588309
5jxk_A,5jwi_B,4.626842
5jxk_A,5jwg_A,5.087215
5jxk_A,5jwi_A,5.152017
5jxk_B,5jwi_B,4.313203
5jwf_A,5jwi_A,4.995263
7bsu_A,7bsv_A,7.94011
1gmj_A,1gmj_B,0.051857
1gmj_A,1gmj_D,0.046058
1gmj_B,1gmj_C,0.041047
1gmj_B,1gmj_D,0.05368
1gmj_A,1gmj_C,0.044788
6a6n_A,6a6m_A,5.943262
4ayw_A,4ayt_A,5.851978
6qcl_A,6hxn_A,0.665933
3hws_A,3hte_D,1.002222
3hws_A,3hws_B,1.023527
3hws_A,3hws_D,1.006513
3hws_A,3hws_E,1.013913
3hws_B,3hws_C,0.895285
3hws_A,3hte_A,1.017899
3hws_A,3hte_B,1.020327
3hws_C,3hte_C,0.854676
3hws_A,3hte_E,0.99854
3hws_C,3hte_F,0.908295
2v1x_A,2wwy_A,2.77832
1qg4_A,1k5d_A,0.351602
1yyf_A,1yyf_B,2.030884
1im2_A,1qg4_A,0.499941
1qg4_A,1rrp_A,0.35677
1g3i_A,1do2_B,1.47971
1iy0_A,4ww0_B,1.199777
1iy0_A,2cea_E,1.190742
1iy0_A,2cea_F,1.448048
1iy0_A,4ww0_A,1.238243
1iy0_A,4ww0_C,1.182471
1j3b_B,2pc9_B,2.041316
2i4i_A,5e7j_A,1.659387
4pxa_A,2i4i_A,1.765853
5e7i_A,2i4i_A,1.643654
5e7i_A,5e7j_A,1.748182
3tmi_A,4a2w_A,
5ooq_A,4u4c_A,9.731317
4qu4_A,4u4c_A,9.677436
5ooq_B,2xgj_A,9.947245
6ieg_A,6ieh_B,8.737318
4u4c_A,6ieg_A,8.521631
4u4c_A,6ieh_B,9.888631
5ooq_B,6ieh_B,9.804563
4qu4_A,6ieg_A,8.128845
4qu4_A,6ieh_B,9.689553
2xgj_B,4u4c_A,8.438282
4qu4_A,2xgj_A,9.800098
4qu4_A,2xgj_B,7.966002
4u4c_A,2xgj_A,9.746674
5ooq_B,4u4c_A,9.596698
2vso_A,2j0s_A,1.400039
2vso_A,2j0u_A,1.287998
1yrb_B,1yr6_A,0.686648
7wgm_A,6fcc_A,0.366676
1nh8_A,1nh7_A,0.580016
1i2d_B,1m8p_B,2.481453
1i2d_A,1m8p_A,2.574351
1aqt_A,1fs0_E,0.10761
2hld_C,1h8e_C,2.462937
1e79_E,1e79_D,1.994247
2hld_E,1h8e_D,1.951372
2hld_E,1h8e_E,1.983927
2hld_E,2hld_F,1.983979
2hld_E,1h8e_F,1.967956
2hld_F,1h8e_E,1.874433
2hld_D,1h8e_E,1.871724
1w0j_E,1e1r_F,2.047337
1w0j_G,2jdi_G,0.251922
1h8e_E,1h8e_F,1.835213
1h8e_D,1h8e_F,2.026618
1h8e_E,1e1q_E,1.89218
1h8e_E,1e1q_F,1.846137
1h8e_D,1h8e_E,1.868111
1h8e_E,1bmf_F,1.87476
